evaluations raw_y
1 7.4000000000
2 7.6000000000
7 8.4000000000
9 8.8000000000
13 9.0000000000
18 9.2000000000
24 9.4000000000
31 9.6000000000
39 9.8000000000
54 10.0000000000
70 10.2000000000
96 10.4000000000
124 10.6000000000
154 10.8000000000
188 11.0000000000
224 11.2000000000
261 11.4000000000
299 11.6000000000
339 11.8000000000
385 12.0000000000
434 12.2000000000
486 12.4000000000
541 12.6000000000
599 12.8000000000
658 13.0000000000
719 13.2000000000
781 13.4000000000
850 13.6000000000
923 13.8000000000
999 14.0000000000
1076 14.2000000000
1155 14.4000000000
1235 14.6000000000
1317 14.8000000000
1401 15.0000000000
1486 15.2000000000
1574 15.4000000000
1664 15.6000000000
1756 15.8000000000
1851 16.0000000000
1949 16.2000000000
2048 16.4000000000
3849 16.6000000000
1125421 16.6000000000
evaluations raw_y
1 7.0000000000
2 7.2000000000
3 8.0000000000
13 8.2000000000
16 8.4000000000
20 8.6000000000
29 8.8000000000
39 9.0000000000
51 9.2000000000
65 9.4000000000
81 9.6000000000
98 9.8000000000
118 10.0000000000
142 10.2000000000
167 10.4000000000
194 10.6000000000
222 10.8000000000
251 11.0000000000
284 11.2000000000
325 11.4000000000
368 11.6000000000
413 11.8000000000
459 12.0000000000
506 12.2000000000
559 12.4000000000
619 12.6000000000
681 12.8000000000
744 13.0000000000
808 13.2000000000
876 13.4000000000
946 13.6000000000
1017 13.8000000000
1091 14.0000000000
1168 14.2000000000
1248 14.4000000000
1330 14.6000000000
1413 14.8000000000
1503 15.0000000000
1594 15.2000000000
1686 15.4000000000
1782 15.6000000000
1879 15.8000000000
1979 16.0000000000
5131 16.2000000000
1125317 16.2000000000
evaluations raw_y
1 6.2000000000
5 6.8000000000
6 7.0000000000
8 7.6000000000
9 8.4000000000
13 8.6000000000
18 8.8000000000
24 9.0000000000
32 9.2000000000
42 9.4000000000
53 10.4000000000
69 10.6000000000
86 10.8000000000
107 11.0000000000
133 11.2000000000
160 11.4000000000
188 11.6000000000
218 11.8000000000
254 12.0000000000
296 12.2000000000
342 12.4000000000
389 12.6000000000
440 12.8000000000
492 13.0000000000
546 13.2000000000
601 13.4000000000
657 13.6000000000
722 13.8000000000
788 14.0000000000
857 14.2000000000
930 14.4000000000
1005 14.6000000000
1082 14.8000000000
1160 15.0000000000
1239 15.2000000000
1325 15.4000000000
1415 15.6000000000
1508 15.8000000000
1603 16.0000000000
1699 16.2000000000
4057 16.4000000000
4154 16.6000000000
8392 16.8000000000
1125414 16.8000000000
evaluations raw_y
1 7.6000000000
7 9.6000000000
17 9.8000000000
27 10.0000000000
39 10.2000000000
56 10.4000000000
76 10.6000000000
98 10.8000000000
121 11.0000000000
147 11.2000000000
176 11.4000000000
210 11.6000000000
246 11.8000000000
284 12.0000000000
323 12.2000000000
363 12.4000000000
404 12.6000000000
447 12.8000000000
491 13.0000000000
536 13.2000000000
583 13.4000000000
632 13.6000000000
683 13.8000000000
735 14.0000000000
791 14.2000000000
859 14.4000000000
930 14.6000000000
1002 14.8000000000
1076 15.0000000000
1151 15.2000000000
1227 15.4000000000
1309 15.6000000000
1392 15.8000000000
1476 16.0000000000
1567 16.2000000000
1661 16.4000000000
1760 16.6000000000
4615 16.8000000000
4711 17.0000000000
4809 17.2000000000
1121084 17.2000000000
evaluations raw_y
1 6.2000000000
2 7.0000000000
12 7.2000000000
14 7.4000000000
26 7.6000000000
40 7.8000000000
57 8.0000000000
76 8.2000000000
96 8.4000000000
117 8.6000000000
139 8.8000000000
165 9.0000000000
192 9.2000000000
221 9.4000000000
253 9.6000000000
287 9.8000000000
323 10.0000000000
365 10.2000000000
411 10.4000000000
458 10.6000000000
507 10.8000000000
564 11.0000000000
623 11.2000000000
683 11.4000000000
744 11.6000000000
806 11.8000000000
870 12.0000000000
936 12.2000000000
1003 12.4000000000
1071 12.6000000000
1140 12.8000000000
1211 13.0000000000
1283 13.2000000000
1356 13.4000000000
1430 13.6000000000
1506 13.8000000000
1584 14.0000000000
1663 14.2000000000
1744 14.4000000000
1826 14.6000000000
1911 14.8000000000
1997 15.0000000000
2084 15.2000000000
2172 15.4000000000
2264 15.6000000000
2357 15.8000000000
2454 16.0000000000
2553 16.2000000000
4035 16.8000000000
5584 17.0000000000
1122320 17.0000000000
evaluations raw_y
1 8.0000000000
3 8.8000000000
12 9.0000000000
15 9.2000000000
23 9.4000000000
39 9.6000000000
58 9.8000000000
79 10.0000000000
104 10.2000000000
131 10.4000000000
160 10.6000000000
197 10.8000000000
235 11.0000000000
276 11.2000000000
324 11.4000000000
373 11.6000000000
423 11.8000000000
474 12.0000000000
526 12.2000000000
580 12.4000000000
637 12.6000000000
695 12.8000000000
761 13.0000000000
828 13.2000000000
896 13.4000000000
966 13.6000000000
1038 13.8000000000
1112 14.0000000000
1187 14.2000000000
1264 14.4000000000
1343 14.6000000000
1423 14.8000000000
1504 15.0000000000
1589 15.2000000000
1675 15.4000000000
1764 15.6000000000
1855 15.8000000000
1948 16.0000000000
2047 16.2000000000
5672 16.4000000000
1125772 16.4000000000
evaluations raw_y
1 6.8000000000
8 7.2000000000
12 7.4000000000
14 7.6000000000
20 7.8000000000
27 8.0000000000
38 8.2000000000
52 8.4000000000
71 8.6000000000
92 8.8000000000
116 9.0000000000
141 9.2000000000
167 9.4000000000
197 9.6000000000
230 9.8000000000
264 10.0000000000
300 10.2000000000
340 10.4000000000
382 10.6000000000
425 10.8000000000
469 11.0000000000
517 11.2000000000
567 11.4000000000
619 11.6000000000
676 11.8000000000
734 12.0000000000
793 12.2000000000
855 12.4000000000
918 12.6000000000
982 12.8000000000
1048 13.0000000000
1115 13.2000000000
1183 13.4000000000
1252 13.6000000000
1323 14.6000000000
1399 14.8000000000
1478 15.0000000000
1564 15.2000000000
1652 15.4000000000
1742 15.6000000000
1840 15.8000000000
1939 16.0000000000
2039 16.2000000000
3881 16.4000000000
1125859 16.4000000000
evaluations raw_y
1 5.8000000000
2 8.0000000000
12 8.2000000000
16 8.4000000000
23 8.6000000000
31 8.8000000000
41 9.0000000000
52 9.2000000000
65 9.4000000000
79 9.6000000000
96 9.8000000000
114 10.0000000000
135 10.2000000000
159 10.4000000000
185 10.6000000000
215 10.8000000000
249 11.0000000000
286 11.2000000000
324 11.4000000000
364 11.6000000000
406 11.8000000000
450 12.0000000000
497 12.2000000000
546 12.4000000000
598 12.6000000000
655 12.8000000000
714 13.0000000000
774 13.2000000000
836 13.4000000000
899 13.6000000000
964 13.8000000000
1037 14.0000000000
1113 14.2000000000
1190 14.4000000000
1268 14.6000000000
1348 14.8000000000
1434 15.0000000000
1522 15.2000000000
1611 15.4000000000
1702 15.6000000000
1795 15.8000000000
1891 16.0000000000
1127044 16.0000000000
evaluations raw_y
1 8.6000000000
12 8.8000000000
14 9.0000000000
17 9.2000000000
21 9.4000000000
27 9.6000000000
35 9.8000000000
50 10.0000000000
68 10.2000000000
87 10.4000000000
110 10.6000000000
136 10.8000000000
165 11.0000000000
195 11.2000000000
228 11.4000000000
263 11.6000000000
299 11.8000000000
338 12.0000000000
387 12.2000000000
442 12.4000000000
498 12.6000000000
555 12.8000000000
616 13.0000000000
678 13.2000000000
743 13.4000000000
809 13.6000000000
877 13.8000000000
956 14.0000000000
1036 14.2000000000
1119 14.4000000000
1203 14.6000000000
1288 14.8000000000
1375 15.0000000000
1463 15.2000000000
1553 15.4000000000
1645 15.6000000000
1738 15.8000000000
1836 16.0000000000
3852 16.2000000000
1124680 16.2000000000
evaluations raw_y
1 7.8000000000
7 8.0000000000
12 8.2000000000
14 8.4000000000
19 8.6000000000
25 8.8000000000
32 9.0000000000
44 9.2000000000
58 9.4000000000
77 9.6000000000
97 9.8000000000
118 10.0000000000
143 10.2000000000
172 10.4000000000
203 10.6000000000
235 10.8000000000
269 11.0000000000
304 11.2000000000
343 11.4000000000
383 11.6000000000
429 11.8000000000
477 12.0000000000
528 12.2000000000
580 12.4000000000
634 12.6000000000
690 12.8000000000
749 13.0000000000
809 13.2000000000
870 13.4000000000
935 13.6000000000
1004 13.8000000000
1076 14.0000000000
1149 14.2000000000
1224 14.4000000000
1301 14.6000000000
1381 14.8000000000
1466 15.0000000000
1553 15.2000000000
1641 15.4000000000
1731 15.6000000000
1825 15.8000000000
1924 16.0000000000
2024 16.2000000000
5275 16.4000000000
5369 16.6000000000
7657 16.8000000000
8642 17.0000000000
1123355 17.0000000000
