evaluations raw_y
1 6.4000000000
16 6.6000000000
22 6.8000000000
23 7.0000000000
24 7.2000000000
27 7.4000000000
33 7.6000000000
37 7.8000000000
38 8.0000000000
42 8.2000000000
45 8.4000000000
75 8.6000000000
80 8.8000000000
87 9.0000000000
88 9.2000000000
90 9.4000000000
94 9.6000000000
129 10.6000000000
171 10.8000000000
173 11.0000000000
404 11.2000000000
459 11.4000000000
460 12.4000000000
461 12.6000000000
462 12.8000000000
464 13.0000000000
1460 13.2000000000
1538 13.4000000000
1552 13.6000000000
1677 13.8000000000
2148 14.0000000000
2150 14.2000000000
2159 14.4000000000
2172 14.6000000000
2774 14.8000000000
3239 15.0000000000
3244 15.2000000000
3266 15.4000000000
4680 15.6000000000
4681 15.8000000000
7729 16.0000000000
10186315 16.0000000000
evaluations raw_y
1 7.2000000000
4 7.4000000000
7 7.6000000000
8 7.8000000000
9 8.0000000000
13 8.2000000000
35 8.4000000000
44 8.6000000000
50 8.8000000000
75 9.0000000000
76 9.2000000000
77 9.4000000000
82 9.6000000000
86 9.8000000000
146 10.0000000000
149 10.2000000000
264 11.0000000000
270 11.2000000000
272 11.4000000000
273 11.6000000000
497 12.2000000000
499 12.4000000000
502 12.6000000000
506 12.8000000000
510 13.0000000000
511 13.2000000000
1147 13.4000000000
1675 13.6000000000
1723 13.8000000000
1737 14.0000000000
2059 14.2000000000
2359 14.4000000000
2381 14.6000000000
2887 14.8000000000
2892 15.0000000000
2905 15.2000000000
3694 15.4000000000
5006 15.6000000000
5048 15.8000000000
6757 16.0000000000
10186085 15.8000000000
evaluations raw_y
1 7.0000000000
7 7.2000000000
9 7.4000000000
10 7.6000000000
11 7.8000000000
13 8.0000000000
32 8.2000000000
33 8.4000000000
45 8.6000000000
46 8.8000000000
47 9.6000000000
50 9.8000000000
51 10.0000000000
52 10.2000000000
53 10.4000000000
54 10.6000000000
389 10.8000000000
543 11.0000000000
671 11.2000000000
680 11.4000000000
682 11.6000000000
697 11.8000000000
709 12.0000000000
711 12.2000000000
720 12.4000000000
724 12.6000000000
726 12.8000000000
1061 13.0000000000
1439 13.8000000000
1444 14.0000000000
1452 14.2000000000
1469 14.4000000000
2344 14.6000000000
2704 14.8000000000
2884 15.0000000000
2896 15.2000000000
2903 15.4000000000
4340 15.6000000000
4775 15.8000000000
4810 16.0000000000
10185839 16.0000000000
evaluations raw_y
1 6.4000000000
6 6.6000000000
8 6.8000000000
9 7.0000000000
10 7.2000000000
11 7.4000000000
33 7.6000000000
35 8.6000000000
37 8.8000000000
66 9.0000000000
74 9.2000000000
75 9.4000000000
79 9.6000000000
270 9.8000000000
271 10.0000000000
274 10.2000000000
350 10.6000000000
352 10.8000000000
557 11.0000000000
564 11.2000000000
806 11.4000000000
809 11.6000000000
818 11.8000000000
875 12.0000000000
1001 12.2000000000
1010 12.4000000000
1152 12.6000000000
1161 12.8000000000
1162 13.0000000000
1455 13.2000000000
1456 14.2000000000
2126 14.4000000000
2658 14.6000000000
2660 14.8000000000
2691 15.0000000000
2709 15.2000000000
3485 15.4000000000
3970 15.6000000000
5990 15.8000000000
6476 16.0000000000
10185914 16.0000000000
evaluations raw_y
1 6.2000000000
3 6.4000000000
4 6.6000000000
6 6.8000000000
8 7.0000000000
12 7.2000000000
31 7.4000000000
35 7.6000000000
39 7.8000000000
40 8.0000000000
43 8.2000000000
44 8.4000000000
70 9.4000000000
72 9.6000000000
74 9.8000000000
78 10.0000000000
81 10.2000000000
83 10.4000000000
398 10.6000000000
453 10.8000000000
457 11.0000000000
459 11.2000000000
466 11.4000000000
756 11.6000000000
777 11.8000000000
1050 12.0000000000
1065 12.2000000000
1070 12.4000000000
1072 12.6000000000
1077 12.8000000000
1477 13.0000000000
1594 13.2000000000
1625 13.4000000000
1626 13.6000000000
2059 13.8000000000
2198 14.0000000000
2203 14.2000000000
2309 14.4000000000
2357 14.6000000000
2382 14.8000000000
2735 15.0000000000
3233 15.2000000000
3245 15.4000000000
4202 15.6000000000
5356 15.8000000000
5668 16.0000000000
10186138 16.0000000000
evaluations raw_y
1 7.8000000000
4 8.0000000000
7 8.2000000000
10 8.4000000000
11 8.6000000000
14 9.6000000000
254 9.8000000000
255 10.0000000000
259 10.2000000000
417 10.4000000000
418 10.6000000000
421 10.8000000000
444 11.0000000000
449 11.2000000000
676 11.4000000000
677 11.6000000000
721 11.8000000000
724 12.0000000000
1098 12.2000000000
1134 12.4000000000
1295 12.6000000000
1298 12.8000000000
1302 13.0000000000
1310 13.2000000000
1311 13.4000000000
1711 13.6000000000
1712 13.8000000000
1734 14.0000000000
1755 14.2000000000
2060 14.4000000000
2363 14.6000000000
2437 14.8000000000
2916 15.0000000000
3237 15.2000000000
4148 15.4000000000
4723 15.6000000000
5746 15.8000000000
5853 16.0000000000
10185606 15.8000000000
evaluations raw_y
1 7.0000000000
3 7.2000000000
5 7.4000000000
6 7.6000000000
12 7.8000000000
