evaluations raw_y
1 -0.4867384535
13 -0.4817160712
16 -0.4799446922
20 -0.4794645722
26 -0.4689415736
33 -0.4676800174
41 -0.4642004629
48 -0.4615689326
57 -0.4566374340
70 -0.4487884992
77 -0.4479866582
92 -0.4443000994
108 -0.4427785610
129 -0.4414316203
149 -0.4401785167
171 -0.4378990683
198 -0.4372030175
226 -0.4329608712
256 -0.4322714545
272 -0.4257380513
303 -0.4236750184
337 -0.4139617614
373 -0.4130098632
411 -0.4063114999
450 -0.4013575114
492 -0.4006939060
537 -0.3972536168
584 -0.3886264109
632 -0.3880966682
660 -0.3867383549
702 -0.3823863736
751 -0.3775748422
801 -0.3761008476
862 -0.3757768094
915 -0.3750145116
978 -0.3707172192
1046 -0.3657639567
1082 -0.3638562996
1151 -0.3575682473
1226 -0.3536835668
1304 -0.3493618352
1305 -0.3456403716
1387 -0.3350665335
1471 -0.3325044583
1562 -0.3271452625
1654 -0.3166565804
1747 -0.3154641503
1842 -0.3124803508
7766 -0.3122063405
9676 -0.3108731540
11352 -0.3091530913
11440 -0.3072820720
11532 -0.3062730602
11625 -0.3050806300
11719 -0.3038503398
19731703 -0.4942930423
evaluations raw_y
1 -0.4749373765
7 -0.4522327293
17 -0.4499709427
24 -0.4491691017
38 -0.4431235721
53 -0.4407594847
70 -0.4404279107
88 -0.4249356890
107 -0.4204218014
127 -0.4191686978
149 -0.4168892494
174 -0.4164052068
202 -0.4106237351
231 -0.4103120602
237 -0.4059468744
248 -0.3998518272
252 -0.3993717072
273 -0.3992453017
293 -0.3939256659
324 -0.3918626330
357 -0.3898932918
393 -0.3837286300
433 -0.3785702513
476 -0.3778292339
520 -0.3755214835
568 -0.3699761542
617 -0.3651646227
668 -0.3571852873
720 -0.3499028048
773 -0.3491405070
827 -0.3442396709
890 -0.3435861059
954 -0.3401233472
1023 -0.3334780219
1095 -0.3228818082
1172 -0.3211709127
1200 -0.3201698723
1285 -0.3161167913
1373 -0.3148452830
1466 -0.3136528528
1560 -0.3124225627
1655 -0.3094387631
1751 -0.3081982295
1813 -0.3075816473
13146236 -0.3068366705
13146329 -0.3056442404
19722705 -0.4942930423
evaluations raw_y
1 -0.4897594774
3 -0.4757329726
20 -0.4708014741
31 -0.4705115357
33 -0.4700890294
37 -0.4696089094
51 -0.4666159277
70 -0.4642744723
90 -0.4639945564
111 -0.4560748762
134 -0.4538697618
158 -0.4513621189
183 -0.4459772402
204 -0.4458508347
239 -0.4391642279
275 -0.4372565708
316 -0.4348351879
360 -0.4325274374
405 -0.4318691828
451 -0.4255804844
499 -0.4200351551
527 -0.4190341147
576 -0.4142225833
626 -0.4127485887
677 -0.4047692533
729 -0.3974867708
786 -0.3926419161
845 -0.3902815860
906 -0.3862163211
969 -0.3846853447
1034 -0.3748827155
1097 -0.3727699646
1163 -0.3692924733
1235 -0.3586962596
