evaluations raw_y
1 -0.5205202309
3 -0.5139135862
12 -0.5124681001
13 -0.5075206154
15 -0.4989904872
19 -0.4939792633
40 -0.4910314291
42 -0.4908641018
68 -0.4852510109
101 -0.4791311314
102 -0.4724408170
104 -0.4651894794
105 -0.4648995411
106 -0.4623815612
161 -0.4601492168
163 -0.4588819559
166 -0.4566801371
167 -0.4510058624
169 -0.4463796676
173 -0.4453706557
201 -0.4449131979
202 -0.4422590678
228 -0.4379056050
245 -0.4348641288
247 -0.4344243996
249 -0.4321449512
254 -0.4276489398
1389621 -0.4942930423
evaluations raw_y
1 -0.4778100825
4 -0.4730366950
5 -0.4694546169
8 -0.4659322400
9 -0.4590857375
10 -0.4556584528
243 -0.4511694026
245 -0.4489114727
256 -0.4352918471
259 -0.4327426607
263 -0.4294845335
264 -0.4175666632
1389731 -0.4942930423
evaluations raw_y
1 -0.5224866575
4 -0.5124569412
5 -0.5069312292
6 -0.4991170500
9 -0.4905869218
10 -0.4865216569
27 -0.4848732323
29 -0.4823240459
30 -0.4815459543
31 -0.4769854733
42 -0.4713831904
44 -0.4705622355
45 -0.4696342406
47 -0.4581019275
48 -0.4557393067
54 -0.4539679277
132 -0.4521067754
263 -0.4520815904
423 -0.4468508864
636 -0.4456258016
637 -0.4439435766
638 -0.4385205343
640 -0.4374448268
808 -0.4295159894
1388064 -0.4942930423
evaluations raw_y
1 -0.4769232856
9 -0.4752123901
10 -0.4722459634
12 -0.4563841037
14 -0.4545599635
17 -0.4528777385
122 -0.4491754448
142 -0.4437704863
145 -0.4430081886
591 -0.4423644441
595 -0.4394459128
597 -0.4335495323
598 -0.4250355099
982 -0.4249531320
1390852 -0.4942930423
evaluations raw_y
1 -0.5113492206
3 -0.5106531698
5 -0.5094607396
6 -0.5093228372
9 -0.5069014542
10 -0.4943388776
26 -0.4899035674
27 -0.4842741210
30 -0.4766923220
33 -0.4719189345
36 -0.4680553267
54 -0.4677141380
58 -0.4616190908
114 -0.4601582289
226 -0.4547273736
227 -0.4483518319
496 -0.4435348360
498 -0.4430547160
499 -0.4352418982
504 -0.4296965689
505 -0.4242735266
510 -0.4239673997
1066 -0.4237521303
1069 -0.4196990492
1070 -0.4167805179
1080 -0.4129900860
1391305 -0.4942930423
evaluations raw_y
1 -0.4779541947
5 -0.4717895330
6 -0.4591993971
8 -0.4546855095
11 -0.4495271308
16 -0.4468608474
72 -0.4411923760
80 -0.4382134471
83 -0.4329045712
85 -0.4249081382
86 -0.4245663091
87 -0.4180329059
1388958 -0.4942930423
evaluations raw_y
1 -0.5168683556
3 -0.5061056905
4 -0.5017614700
8 -0.4979710380
9 -0.4949589477
12 -0.4892413104
39 -0.4834930945
43 -0.4785398320
44 -0.4750602775
45 -0.4646781492
103 -0.4628405137
139 -0.4553259532
147 -0.4518986686
153 -0.4488059615
154 -0.4409931436
155 -0.4364792560
156 -0.4364708708
942 -0.4238973980
943 -0.4231193064
1390172 -0.4942930423
evaluations raw_y
1 -0.5132375417
3 -0.5102445600
4 -0.5027066583
8 -0.4836990384
9 -0.4810449084
11 -0.4792735294
16 -0.4748404172
17 -0.4714131325
20 -0.4690861550
27 -0.4640749312
78 -0.4635639137
129 -0.4630783973
130 -0.4607143100
325 -0.4572663879
358 -0.4543727303
360 -0.4520649798
457 -0.4514852282
632 -0.4471210949
634 -0.4372027964
971 -0.4323886587
975 -0.4300616812
1388945 -0.4942930423
evaluations raw_y
1 -0.5415501347
4 -0.5380873760
6 -0.5299940900
7 -0.5270276633
8 -0.5203373489
13 -0.5201451675
14 -0.5076581910
16 -0.5019557069
18 -0.5000507194
20 -0.4937620210
21 -0.4927575370
25 -0.4879460056
42 -0.4873674856
45 -0.4819503642
46 -0.4789573825
49 -0.4785176533
86 -0.4700359700
88 -0.4595129714
89 -0.4575436302
90 -0.4571428162
92 -0.4557958754
94 -0.4507350936
836 -0.4489769337
973 -0.4411600410
3914 -0.4391015032
1391100 -0.4942930423
evaluations raw_y
1 -0.4967923817
3 -0.4833614173
4 -0.4801111965
12 -0.4783887659
14 -0.4775869249
17 -0.4761018479
36 -0.4739587835
39 -0.4701625062
40 -0.4637848629
41 -0.4592709753
43 -0.4568331226
44 -0.4560921052
87 -0.4534152239
92 -0.4499281663
97 -0.4469492374
306 -0.4357292451
308 -0.4268500508
309 -0.4246449363
312 -0.4144100499
314 -0.4114915186
324 -0.4076952413
1390371 -0.4942930423
