evaluations raw_y
1 0.0000000000
3 4.0000000000
16 5.0000000000
22 7.0000000000
30 8.0000000000
39 11.0000000000
51 12.0000000000
64 15.0000000000
80 16.0000000000
97 19.0000000000
117 20.0000000000
138 23.0000000000
162 26.0000000000
189 27.0000000000
217 28.0000000000
246 29.0000000000
276 31.0000000000
308 32.0000000000
341 33.0000000000
375 34.0000000000
410 35.0000000000
446 40.0000000000
487 43.0000000000
531 44.0000000000
576 46.0000000000
623 47.0000000000
671 50.0000000000
722 53.0000000000
776 56.0000000000
833 59.0000000000
893 61.0000000000
955 65.0000000000
1021 68.0000000000
1090 69.0000000000
1160 70.0000000000
1231 71.0000000000
1303 72.0000000000
1376 73.0000000000
1450 74.0000000000
1525 75.0000000000
1601 76.0000000000
1678 78.0000000000
1757 82.0000000000
1840 84.0000000000
1925 86.0000000000
2012 88.0000000000
2101 89.0000000000
2191 91.0000000000
2283 98.0000000000
2382 99.0000000000
2482 100.0000000000
1112370 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 6.0000000000
18 7.0000000000
26 8.0000000000
35 11.0000000000
47 12.0000000000
60 13.0000000000
74 14.0000000000
89 16.0000000000
106 17.0000000000
124 19.0000000000
144 20.0000000000
165 22.0000000000
188 23.0000000000
212 24.0000000000
237 26.0000000000
264 27.0000000000
292 33.0000000000
326 34.0000000000
361 37.0000000000
399 38.0000000000
438 40.0000000000
479 45.0000000000
525 48.0000000000
574 51.0000000000
626 53.0000000000
680 56.0000000000
737 57.0000000000
795 58.0000000000
854 61.0000000000
916 62.0000000000
979 63.0000000000
1043 70.0000000000
1114 71.0000000000
1186 72.0000000000
1259 73.0000000000
1333 76.0000000000
1410 77.0000000000
1488 83.0000000000
1572 87.0000000000
1660 90.0000000000
1751 92.0000000000
1844 94.0000000000
1939 95.0000000000
2035 100.0000000000
1111923 100.0000000000
evaluations raw_y
1 0.0000000000
7 1.0000000000
10 2.0000000000
14 3.0000000000
18 5.0000000000
24 9.0000000000
34 11.0000000000
46 13.0000000000
60 16.0000000000
77 21.0000000000
99 24.0000000000
124 25.0000000000
150 27.0000000000
178 29.0000000000
208 30.0000000000
239 32.0000000000
272 33.0000000000
306 34.0000000000
341 36.0000000000
378 38.0000000000
417 43.0000000000
461 49.0000000000
511 50.0000000000
562 53.0000000000
616 54.0000000000
671 56.0000000000
728 58.0000000000
787 59.0000000000
847 61.0000000000
909 63.0000000000
973 64.0000000000
1038 65.0000000000
1104 68.0000000000
1173 71.0000000000
1245 72.0000000000
1318 73.0000000000
1392 74.0000000000
1467 75.0000000000
1543 77.0000000000
1621 79.0000000000
1701 83.0000000000
1785 84.0000000000
1870 86.0000000000
1957 89.0000000000
2047 91.0000000000
2139 93.0000000000
2233 94.0000000000
2328 95.0000000000
2424 98.0000000000
2523 99.0000000000
2623 100.0000000000
1112511 100.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
14 3.0000000000
18 5.0000000000
24 7.0000000000
32 10.0000000000
43 18.0000000000
62 21.0000000000
84 23.0000000000
108 24.0000000000
133 28.0000000000
162 29.0000000000
192 30.0000000000
223 38.0000000000
262 40.0000000000
303 41.0000000000
345 46.0000000000
392 47.0000000000
440 51.0000000000
492 53.0000000000
546 55.0000000000
602 56.0000000000
659 60.0000000000
720 63.0000000000
784 65.0000000000
850 68.0000000000
919 71.0000000000
991 72.0000000000
1064 73.0000000000
1138 75.0000000000
1214 77.0000000000
1292 79.0000000000
1372 82.0000000000
1455 85.0000000000
1541 87.0000000000
1629 90.0000000000
1720 91.0000000000
1812 92.0000000000
1905 95.0000000000
2001 96.0000000000
2098 97.0000000000
2196 100.0000000000
1112084 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
13 2.0000000000
16 3.0000000000
20 6.0000000000
27 7.0000000000
35 8.0000000000
44 11.0000000000
56 12.0000000000
69 15.0000000000
85 28.0000000000
114 31.0000000000
146 32.0000000000
179 33.0000000000
213 36.0000000000
250 38.0000000000
289 39.0000000000
329 40.0000000000
370 41.0000000000
412 43.0000000000
456 44.0000000000
501 45.0000000000
547 46.0000000000
594 47.0000000000
642 50.0000000000
693 52.0000000000
746 53.0000000000
800 56.0000000000
857 60.0000000000
918 61.0000000000
980 63.0000000000
1044 65.0000000000
1110 68.0000000000
1179 75.0000000000
1255 76.0000000000
1332 77.0000000000
1410 85.0000000000
1496 87.0000000000
1584 88.0000000000
1673 89.0000000000
1763 91.0000000000
1855 93.0000000000
1949 98.0000000000
2048 99.0000000000
2148 100.0000000000
1112036 100.0000000000
evaluations raw_y
1 2.0000000000
14 3.0000000000
18 4.0000000000
23 5.0000000000
29 6.0000000000
36 7.0000000000
44 9.0000000000
54 11.0000000000
66 15.0000000000
82 17.0000000000
100 19.0000000000
120 20.0000000000
141 21.0000000000
163 23.0000000000
187 26.0000000000
214 29.0000000000
244 30.0000000000
275 31.0000000000
307 32.0000000000
340 33.0000000000
374 34.0000000000
409 35.0000000000
445 39.0000000000
485 40.0000000000
526 44.0000000000
571 47.0000000000
619 48.0000000000
668 50.0000000000
719 51.0000000000
771 54.0000000000
826 55.0000000000
882 56.0000000000
939 57.0000000000
997 58.0000000000
1056 61.0000000000
1118 62.0000000000
1181 64.0000000000
1246 65.0000000000
1312 66.0000000000
1379 67.0000000000
1447 68.0000000000
1516 70.0000000000
1587 71.0000000000
1659 73.0000000000
1733 76.0000000000
1810 77.0000000000
1888 79.0000000000
1968 80.0000000000
2049 81.0000000000
2131 82.0000000000
2214 83.0000000000
2298 84.0000000000
2383 85.0000000000
2469 89.0000000000
2559 90.0000000000
2650 92.0000000000
2743 94.0000000000
2838 98.0000000000
2937 100.0000000000
1112825 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
6 3.0000000000
15 5.0000000000
21 8.0000000000
30 9.0000000000
40 10.0000000000
51 12.0000000000
64 14.0000000000
79 18.0000000000
98 22.0000000000
121 23.0000000000
145 26.0000000000
172 28.0000000000
201 30.0000000000
232 35.0000000000
268 36.0000000000
305 40.0000000000
346 42.0000000000
389 43.0000000000
433 48.0000000000
482 50.0000000000
533 53.0000000000
587 55.0000000000
643 63.0000000000
707 64.0000000000
772 72.0000000000
845 74.0000000000
920 79.0000000000
1000 81.0000000000
1082 83.0000000000
1166 84.0000000000
1251 88.0000000000
1340 89.0000000000
1430 93.0000000000
1524 95.0000000000
1620 97.0000000000
1718 98.0000000000
1817 99.0000000000
1917 100.0000000000
1111805 100.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
15 4.0000000000
20 5.0000000000
26 7.0000000000
34 10.0000000000
45 13.0000000000
59 16.0000000000
76 18.0000000000
95 19.0000000000
115 21.0000000000
137 26.0000000000
164 27.0000000000
192 29.0000000000
222 30.0000000000
253 34.0000000000
288 36.0000000000
325 38.0000000000
364 39.0000000000
404 41.0000000000
446 43.0000000000
490 45.0000000000
536 52.0000000000
589 53.0000000000
643 54.0000000000
698 55.0000000000
754 56.0000000000
811 60.0000000000
872 61.0000000000
