evaluations raw_y
1 2729.0000000000
4 2741.0000000000
7 3054.0000000000
9 3137.0000000000
12 3138.0000000000
14 3140.0000000000
17 3143.0000000000
26 3152.0000000000
36 3162.0000000000
47 3173.0000000000
60 3186.0000000000
76 3202.0000000000
94 3220.0000000000
113 3239.0000000000
135 3261.0000000000
159 3285.0000000000
186 3312.0000000000
217 3343.0000000000
252 3378.0000000000
289 3415.0000000000
332 3458.0000000000
377 3503.0000000000
424 3550.0000000000
472 3598.0000000000
522 3648.0000000000
573 3699.0000000000
627 3753.0000000000
684 3810.0000000000
745 3871.0000000000
807 3933.0000000000
870 3996.0000000000
934 4060.0000000000
1001 4127.0000000000
1069 4195.0000000000
1143 4269.0000000000
1220 4346.0000000000
1299 4425.0000000000
1379 4505.0000000000
1465 4591.0000000000
1552 4678.0000000000
1642 4768.0000000000
1733 4859.0000000000
1827 4953.0000000000
1924 5050.0000000000
1111812 5050.0000000000
evaluations raw_y
1 2997.0000000000
6 3132.0000000000
12 3133.0000000000
14 3135.0000000000
17 3138.0000000000
21 3142.0000000000
27 3148.0000000000
34 3155.0000000000
44 3165.0000000000
55 3176.0000000000
67 3188.0000000000
82 3203.0000000000
104 3225.0000000000
130 3251.0000000000
157 3278.0000000000
188 3309.0000000000
221 3342.0000000000
255 3376.0000000000
290 3411.0000000000
326 3447.0000000000
365 3486.0000000000
408 3529.0000000000
452 3573.0000000000
502 3623.0000000000
553 3674.0000000000
606 3727.0000000000
662 3783.0000000000
719 3840.0000000000
782 3903.0000000000
848 3969.0000000000
915 4036.0000000000
987 4108.0000000000
1060 4181.0000000000
1135 4256.0000000000
1214 4335.0000000000
1294 4415.0000000000
1379 4500.0000000000
1468 4589.0000000000
1558 4679.0000000000
1649 4770.0000000000
1741 4862.0000000000
1834 4955.0000000000
1929 5050.0000000000
1111817 5050.0000000000
evaluations raw_y
1 2908.0000000000
7 2993.0000000000
13 2995.0000000000
20 3002.0000000000
28 3010.0000000000
39 3021.0000000000
53 3035.0000000000
68 3050.0000000000
85 3067.0000000000
103 3085.0000000000
125 3107.0000000000
150 3132.0000000000
176 3158.0000000000
204 3186.0000000000
234 3216.0000000000
266 3248.0000000000
301 3283.0000000000
340 3322.0000000000
380 3362.0000000000
422 3404.0000000000
466 3448.0000000000
512 3494.0000000000
559 3541.0000000000
615 3597.0000000000
674 3656.0000000000
736 3718.0000000000
801 3783.0000000000
869 3851.0000000000
939 3921.0000000000
1010 3992.0000000000
1083 4065.0000000000
1159 4141.0000000000
1238 4220.0000000000
1323 4305.0000000000
1409 4391.0000000000
1496 4478.0000000000
1584 4566.0000000000
1676 4658.0000000000
1771 4753.0000000000
1869 4851.0000000000
1968 4950.0000000000
2068 5050.0000000000
1111956 5050.0000000000
evaluations raw_y
1 2879.0000000000
6 3052.0000000000
12 3053.0000000000
15 3056.0000000000
19 3060.0000000000
25 3066.0000000000
32 3073.0000000000
40 3081.0000000000
49 3090.0000000000
59 3100.0000000000
71 3112.0000000000
85 3126.0000000000
100 3141.0000000000
117 3158.0000000000
135 3176.0000000000
156 3197.0000000000
179 3220.0000000000
203 3244.0000000000
232 3273.0000000000
262 3303.0000000000
295 3336.0000000000
329 3370.0000000000
366 3407.0000000000
404 3445.0000000000
444 3485.0000000000
486 3527.0000000000
531 3572.0000000000
579 3620.0000000000
628 3669.0000000000
678 3719.0000000000
730 3771.0000000000
784 3825.0000000000
844 3885.0000000000
905 3946.0000000000
968 4009.0000000000
1033 4074.0000000000
1100 4141.0000000000
1169 4210.0000000000
1241 4282.0000000000
1314 4355.0000000000
1392 4433.0000000000
1472 4513.0000000000
1553 4594.0000000000
1637 4678.0000000000
1722 4763.0000000000
1813 4854.0000000000
1909 4950.0000000000
2009 5050.0000000000
1111897 5050.0000000000
