evaluations raw_y
1 2675.0000000000
3 2769.0000000000
10 2798.0000000000
12 2826.0000000000
14 2857.0000000000
17 2868.0000000000
24 2916.0000000000
25 2919.0000000000
29 2948.0000000000
46 3057.0000000000
48 3110.0000000000
50 3189.0000000000
58 3264.0000000000
59 3278.0000000000
63 3347.0000000000
150 4257.0000000000
157 4282.0000000000
169 4339.0000000000
171 4369.0000000000
174 4382.0000000000
199 4460.0000000000
249 4493.0000000000
258 4495.0000000000
259 4593.0000000000
472 4774.0000000000
481 4781.0000000000
510 4797.0000000000
567 4860.0000000000
635 4869.0000000000
658 4901.0000000000
712 4917.0000000000
713 4924.0000000000
733 4937.0000000000
759 5034.0000000000
1086 5050.0000000000
10198234 5050.0000000000
evaluations raw_y
1 2690.0000000000
3 2767.0000000000
5 2821.0000000000
7 2873.0000000000
8 2887.0000000000
9 2950.0000000000
88 3008.0000000000
90 3026.0000000000
92 3126.0000000000
93 3139.0000000000
96 3166.0000000000
97 3170.0000000000
108 4080.0000000000
110 4151.0000000000
114 4186.0000000000
133 4248.0000000000
142 4312.0000000000
145 4395.0000000000
185 4420.0000000000
186 4473.0000000000
395 4697.0000000000
411 4708.0000000000
431 4790.0000000000
432 4830.0000000000
450 4869.0000000000
566 4876.0000000000
568 4953.0000000000
604 4955.0000000000
638 4965.0000000000
639 4974.0000000000
652 4976.0000000000
885 4995.0000000000
899 5016.0000000000
900 5027.0000000000
1049 5050.0000000000
10197831 5011.0000000000
evaluations raw_y
1 2192.0000000000
3 2207.0000000000
5 2287.0000000000
7 2298.0000000000
8 2352.0000000000
9 2418.0000000000
10 2598.0000000000
15 2682.0000000000
16 2782.0000000000
17 2814.0000000000
22 2833.0000000000
23 2856.0000000000
50 2866.0000000000
51 2949.0000000000
55 2957.0000000000
74 3024.0000000000
79 3078.0000000000
80 3135.0000000000
86 3177.0000000000
91 3265.0000000000
95 3300.0000000000
121 3991.0000000000
129 4027.0000000000
133 4038.0000000000
136 4094.0000000000
144 4154.0000000000
146 4204.0000000000
147 4457.0000000000
150 4487.0000000000
161 4560.0000000000
163 4581.0000000000
167 4642.0000000000
194 4652.0000000000
491 4741.0000000000
495 4837.0000000000
512 4920.0000000000
525 4926.0000000000
544 4973.0000000000
556 4980.0000000000
616 4999.0000000000
906 5003.0000000000
914 5050.0000000000
10198313 5050.0000000000
evaluations raw_y
1 2856.0000000000
4 2925.0000000000
5 3007.0000000000
6 3019.0000000000
7 3047.0000000000
12 3095.0000000000
57 3152.0000000000
60 3240.0000000000
63 3250.0000000000
64 3283.0000000000
66 3333.0000000000
123 4100.0000000000
125 4171.0000000000
127 4226.0000000000
129 4238.0000000000
130 4303.0000000000
134 4379.0000000000
145 4479.0000000000
163 4493.0000000000
164 4519.0000000000
165 4523.0000000000
170 4608.0000000000
173 4659.0000000000
343 4852.0000000000
365 4928.0000000000
422 4960.0000000000
439 5015.0000000000
504 5050.0000000000
10198162 5050.0000000000
evaluations raw_y
1 2403.0000000000
4 2468.0000000000
5 2520.0000000000
11 2534.0000000000
16 2563.0000000000
17 2620.0000000000
25 2657.0000000000
27 2662.0000000000
28 2808.0000000000
33 2837.0000000000
35 2886.0000000000
37 2896.0000000000
38 2907.0000000000
39 2965.0000000000
118 3805.0000000000
121 3883.0000000000
130 3914.0000000000
137 3979.0000000000
144 4045.0000000000
147 4088.0000000000
166 4099.0000000000
175 4176.0000000000
213 4190.0000000000
219 4247.0000000000
222 4298.0000000000
227 4326.0000000000
325 4333.0000000000
336 4349.0000000000
340 4414.0000000000
353 4439.0000000000
400 4749.0000000000
406 4815.0000000000
446 4859.0000000000
464 4874.0000000000
594 4920.0000000000
772 4970.0000000000
777 4997.0000000000
1327 5050.0000000000
10198141 5050.0000000000
evaluations raw_y
1 2057.0000000000
5 2064.0000000000
6 2112.0000000000
7 2153.0000000000
9 2237.0000000000
11 2312.0000000000
12 2441.0000000000
14 2524.0000000000
15 2529.0000000000
16 2536.0000000000
17 2591.0000000000
18 2636.0000000000
27 2680.0000000000
28 2687.0000000000
44 2706.0000000000
45 2716.0000000000
47 2756.0000000000
48 2996.0000000000
52 3034.0000000000
54 3070.0000000000
56 3113.0000000000
57 3154.0000000000
59 3174.0000000000
64 3176.0000000000
65 3276.0000000000
70 3341.0000000000
72 3355.0000000000
80 3390.0000000000
86 3424.0000000000
93 3479.0000000000
96 3494.0000000000
122 4282.0000000000
124 4306.0000000000
126 4406.0000000000
128 4444.0000000000
129 4490.0000000000
148 4539.0000000000
348 4628.0000000000
349 4666.0000000000
355 4690.0000000000
417 4848.0000000000
420 4849.0000000000
431 4879.0000000000
433 4888.0000000000
449 4930.0000000000
460 4995.0000000000
689 4996.0000000000
723 5007.0000000000
819 5008.0000000000
1247 5039.0000000000
1273 5050.0000000000
10198047 5050.0000000000
evaluations raw_y
1 2529.0000000000
3 2558.0000000000
5 2639.0000000000
9 2716.0000000000
11 2787.0000000000
15 2823.0000000000
44 2887.0000000000
47 2951.0000000000
48 3027.0000000000
50 3071.0000000000
118 3075.0000000000
123 3134.0000000000
125 3170.0000000000
126 3177.0000000000
132 3248.0000000000
133 3978.0000000000
135 4073.0000000000
144 4089.0000000000
147 4093.0000000000
150 4153.0000000000
169 4235.0000000000
184 4255.0000000000
312 4324.0000000000
322 4357.0000000000
327 4412.0000000000
334 4461.0000000000
347 4499.0000000000
348 4515.0000000000
397 4686.0000000000
401 4765.0000000000
408 4799.0000000000
414 4836.0000000000
444 4882.0000000000
468 4886.0000000000
634 4898.0000000000
811 4902.0000000000
973 4974.0000000000
980 4979.0000000000
