evaluations raw_y
1 1.5299877601
27 2.0798668885
122 2.1367521368
162 2.6427061311
2704 2.7839643653
4402 2.8868360277
14583 3.0562347188
125000 1.0620220901
evaluations raw_y
1 1.1649580615
5 1.3455328310
17 1.3935340022
19 1.6425755585
28 1.7337031900
44 2.0000000000
105 2.1079258010
464 2.2603978300
736 2.2935779817
1083 2.3629489603
2750 3.0562347188
54725 3.1172069825
125000 0.6148548942
evaluations raw_y
1 1.2588116818
2 1.6600265604
5 2.0000000000
9 2.0525451560
10 2.2281639929
862 2.6427061311
1314 2.9976019185
23466 3.1172069825
125000 0.9758001561
evaluations raw_y
1 1.0993843448
3 1.2899896801
4 1.3935340022
5 1.5006002401
15 1.5299877601
21 1.5762925599
57 1.7934002869
63 2.0000000000
461 2.0798668885
751 2.3629489603
1315 2.5562372188
8031 2.6427061311
8102 2.7839643653
13113 2.9411764706
97138 3.3156498674
125000 0.6453278265
evaluations raw_y
1 1.3340448239
5 1.4585764294
10 1.5151515152
13 1.5923566879
15 1.8573551263
16 2.0798668885
324 2.3629489603
1199 2.7352297593
12929 2.7839643653
40533 2.9411764706
64998 3.1172069825
102188 3.3156498674
125000 1.6778523490
evaluations raw_y
1 2.0259319287
475 2.1079258010
570 2.4366471735
2155 2.7839643653
9658 3.0562347188
125000 1.2195121951
evaluations raw_y
1 1.1230907457
3 1.1394712853
5 1.2195121951
9 1.8142235123
151 2.0798668885
450 2.1367521368
746 2.1968365554
906 2.2603978300
2131 2.3277467412
2448 2.4366471735
5541 2.7352297593
7621 2.8868360277
31344 3.1172069825
125000 0.7196315486
evaluations raw_y
1 1.0692899914
4 1.2291052114
7 1.4723203769
28 1.5605493134
61 1.8573551263
85 1.9025875190
120 2.0259319287
131 2.1079258010
494 2.2935779817
1690 2.5987525988
2652 2.6427061311
4578 2.7839643653
63079 3.0562347188
104358 3.3875338753
125000 0.8871540099
evaluations raw_y
1 0.8350033400
2 0.9697439876
5 0.9819324430
7 1.1916110582
8 1.2899896801
22 1.4863258026
28 2.2281639929
261 2.5562372188
265 2.6881720430
18279 2.7352297593
24725 2.8868360277
37171 3.2467532468
125000 1.3455328310
evaluations raw_y
1 1.0548523207
2 1.2690355330
3 1.7934002869
71 2.1663778163
282 2.3277467412
1567 2.3629489603
2187 2.5150905433
3848 2.5987525988
4030 2.9411764706
14102 2.9976019185
37985 3.1172069825
125000 1.7730496454
