evaluations raw_y
1 25.0000000000
2 27.0000000000
5 28.0000000000
7 29.0000000000
9 30.0000000000
14 31.0000000000
16 32.0000000000
30 33.0000000000
132 35.0000000000
176 36.0000000000
759 37.0000000000
3687 38.0000000000
12194 39.0000000000
109781 41.0000000000
125000 21.0000000000
evaluations raw_y
1 25.0000000000
2 26.0000000000
3 31.0000000000
47 37.0000000000
4566 38.0000000000
19607 39.0000000000
125000 27.0000000000
evaluations raw_y
1 28.0000000000
10 31.0000000000
17 32.0000000000
45 33.0000000000
84 34.0000000000
458 35.0000000000
712 38.0000000000
32876 39.0000000000
50613 41.0000000000
125000 23.0000000000
evaluations raw_y
1 28.0000000000
2 33.0000000000
81 35.0000000000
168 36.0000000000
922 37.0000000000
23507 38.0000000000
60345 39.0000000000
125000 32.0000000000
evaluations raw_y
1 23.0000000000
2 30.0000000000
5 31.0000000000
17 34.0000000000
518 35.0000000000
1777 36.0000000000
1999 37.0000000000
5218 39.0000000000
125000 27.0000000000
evaluations raw_y
1 24.0000000000
4 30.0000000000
66 31.0000000000
124 32.0000000000
210 36.0000000000
937 37.0000000000
4202 39.0000000000
125000 22.0000000000
evaluations raw_y
1 22.0000000000
2 25.0000000000
3 27.0000000000
4 30.0000000000
24 32.0000000000
97 33.0000000000
494 34.0000000000
540 35.0000000000
1898 36.0000000000
2719 40.0000000000
125000 28.0000000000
evaluations raw_y
1 27.0000000000
3 28.0000000000
4 29.0000000000
7 31.0000000000
11 34.0000000000
187 35.0000000000
380 36.0000000000
1797 37.0000000000
7617 39.0000000000
53780 40.0000000000
125000 26.0000000000
evaluations raw_y
1 28.0000000000
6 30.0000000000
11 33.0000000000
129 34.0000000000
326 39.0000000000
36568 40.0000000000
125000 24.0000000000
evaluations raw_y
1 24.0000000000
3 25.0000000000
6 27.0000000000
7 28.0000000000
9 32.0000000000
121 33.0000000000
125 34.0000000000
689 36.0000000000
2847 39.0000000000
83955 40.0000000000
125000 21.0000000000
