evaluations raw_y
1 0.0000000000
2 2.0000000000
13 3.0000000000
80 5.0000000000
203 6.0000000000
219 7.0000000000
373 9.0000000000
2303 10.0000000000
4372 11.0000000000
9274 12.0000000000
12010 13.0000000000
12877 18.0000000000
26014 21.0000000000
125000 4.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
5 4.0000000000
18 5.0000000000
55 7.0000000000
77 11.0000000000
2224 12.0000000000
15324 13.0000000000
44820 15.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 2.0000000000
9 6.0000000000
98 7.0000000000
208 8.0000000000
960 10.0000000000
1556 11.0000000000
3523 12.0000000000
12970 13.0000000000
15631 14.0000000000
16219 15.0000000000
52941 22.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
13 6.0000000000
224 7.0000000000
280 8.0000000000
457 10.0000000000
4950 12.0000000000
6049 13.0000000000
16940 16.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
2 5.0000000000
48 6.0000000000
62 7.0000000000
779 8.0000000000
1643 13.0000000000
61361 14.0000000000
67389 19.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
7 7.0000000000
712 8.0000000000
1079 9.0000000000
2075 10.0000000000
4187 11.0000000000
7187 14.0000000000
38452 15.0000000000
64333 16.0000000000
65855 17.0000000000
81673 18.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
8 1.0000000000
11 2.0000000000
20 5.0000000000
30 7.0000000000
458 8.0000000000
648 9.0000000000
1843 10.0000000000
2198 11.0000000000
13410 12.0000000000
21282 14.0000000000
35269 15.0000000000
72849 18.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
4 4.0000000000
133 5.0000000000
253 9.0000000000
1375 10.0000000000
4238 12.0000000000
4988 13.0000000000
11390 18.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
3 5.0000000000
118 6.0000000000
273 9.0000000000
288 12.0000000000
4514 13.0000000000
5124 15.0000000000
70969 20.0000000000
95620 22.0000000000
125000 1.0000000000
evaluations raw_y
1 4.0000000000
36 5.0000000000
156 9.0000000000
640 10.0000000000
1982 12.0000000000
6334 13.0000000000
37877 14.0000000000
108944 17.0000000000
125000 1.0000000000
