Instance,PopulationSize,Generation,BestFitness
eil51,20,2000,455.18402589388296
eil51,20,5000,448.4314073956106
eil51,20,10000,446.5871271193932
eil51,20,20000,446.5871271193932
eil76,20,2000,584.9908717830922
eil76,20,5000,583.8260581698601
eil76,20,10000,572.7169328503662
eil76,20,20000,572.7169328503662
eil101,20,2000,771.2783859610124
eil101,20,5000,682.6015883917332
eil101,20,10000,676.6545521807964
eil101,20,20000,668.6152648354764
st70,20,2000,772.456725755036
st70,20,5000,699.6158572585424
st70,20,10000,698.2997553072609
st70,20,20000,698.2997553072609
kroA100,20,2000,29255.330610609995
kroA100,20,5000,24403.31929603559
kroA100,20,10000,23039.635792795692
kroA100,20,20000,23039.635792795692
kroC100,20,2000,30369.20152556391
kroC100,20,5000,24672.225910063156
kroC100,20,10000,23587.016092383237
kroC100,20,20000,21883.024809851824
kroD100,20,2000,30350.450235460365
kroD100,20,5000,26608.90783030467
kroD100,20,10000,24728.2909243717
kroD100,20,20000,23564.9815185455
lin105,20,2000,21929.15470245988
lin105,20,5000,18290.377706193853
lin105,20,10000,17699.650395431927
lin105,20,20000,16997.29978889751
pcb442,20,2000,310802.2817488787
pcb442,20,5000,191164.61126784422
pcb442,20,10000,135421.71473653207
pcb442,20,20000,101400.21705690419
pr2392,20,2000,10709336.780753316
pr2392,20,5000,8179832.468790658
